Supplier,rows,missing_rate,dup_rate,neg_qty_rate,bad_rrp_rate,extreme_price_rate,score_completeness,score_uniqueness,score_validity,avg_rrp_std,score_consistency,data_health_score
MALINDI INDUSTRIES LIMITED,10,0.0,0.2,0.0,0.0,0.0,1.0,0.8,1.0,199.21383415473701,0.05347876081039493,79.8022
MANJI FOOD INDUSTRIES LTD,577,0.0,0.0416,0.0,0.0,0.0,1.0,0.9584055459272097,1.0,29.536303611460472,0.8812955848896185,96.9716
MARURI PACKERS,15,0.0,0.1333,0.0,0.0,0.0,1.0,0.8666666666666667,1.0,14.310476524781588,0.9555788195790766,95.3337
MASSATECH KENYA LIMITED,19,0.0,0.1053,0.0,0.0,0.0,1.0,0.8947368421052632,1.0,17.90425940158133,0.9380455968949812,95.9128
MELVIN MARSH INTERNATIONAL LTD,25,0.0,0.16,0.0,0.0,0.0,1.0,0.84,1.0,26.723596174452393,0.8950181239324304,93.6253
MENENGAI OIL REFINERIES LTD,192,0.0,0.0312,0.0,0.0,0.0,1.0,0.96875,1.0,23.20988811971957,0.9121606803646072,97.7449
MERAKI FOODS LIMITED,187,0.0,0.0107,0.0,0.0,0.0,1.0,0.9893048128342246,1.0,15.898295506012357,0.9478322236565251,98.8966
MIBISCO LTD,48,0.0208,0.0417,0.0208,0.0,0.0,0.9791666666666666,0.9583333333333334,0.9791666666666666,25.350186617985173,0.9017186666239376,96.1299
MILIKI GLOBAL LIMITED,14,0.0,0.1429,0.0,0.0,0.0,1.0,0.8571428571428572,1.0,180.90054250566158,0.14282501003287285,82.8567
MILL BAKERS LTD,55,0.0,0.0727,0.0,0.0,0.0,1.0,0.9272727272727272,1.0,17.734223138914658,0.9388751638888452,96.9013
MINI BAKERIES (MOMBASA) LIMITED,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
MJENGO LIMITED,1217,0.0,0.0345,0.0,0.0,0.0,1.0,0.9654889071487264,1.0,18.136089483873672,0.9369145523669592,98.0184
MUSTY DISTRIBUTION LIMITED,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
MYPASTA LIMITED,14,0.0,0.1429,0.0,0.0,0.0,1.0,0.8571428571428572,1.0,20.522997465799342,0.9252693888698214,94.5933
MZURI SWEETS LIMITED,310,0.0,0.0129,0.0,0.0,0.0,1.0,0.9870967741935484,1.0,14.405609416571792,0.955114688541248,98.9396
NAIROBI JAVA HOUSE LIMITED,70,0.0,0.0286,0.0,0.0,0.0,1.0,0.9714285714285714,1.0,42.153764545384696,0.8197379561050527,96.4389
